District ID,District Name,School Year,Number of Students Tested,Numeracy Skills (%) Level 1,Numeracy Skills (%) Level 2,Numeracy Skills (%) Level 3
1,Andover School District,2010-11,42,19,28.6,52.4
2,Ansonia School District,2010-11,22,22.7,31.8,45.5
244,Area Cooperative Educational Services,2010-11,62,12.9,50,37.1
3,Ashford School District,2010-11,48,4.2,12.5,83.3
4,Avon School District,2010-11,188,5.3,27.1,67.6
5,Barkhamsted School District,2010-11,47,8.5,27.7,63.8
7,Berlin School District,2010-11,208,13.9,40.4,45.7
8,Bethany School District,2010-11,53,20.8,28.3,50.9
9,Bethel School District,2010-11,162,9.9,36.4,53.7
11,Bloomfield School District,2010-11,190,20,44.2,35.8
12,Bolton School District,2010-11,57,15.8,35.1,49.1
13,Bozrah School District,2010-11,30,6.7,60,33.3
14,Branford School District,2010-11,215,13,49.3,37.7
15,Bridgeport School District,2010-11,1729,23.9,43.3,32.9
17,Bristol School District,2010-11,629,16.1,47.5,36.4
18,Brookfield School District,2010-11,161,13,29.2,57.8
19,Brooklyn School District,2010-11,95,5.3,24.2,70.5
21,Canaan School District,2010-11,11,0,36.4,63.6
22,Canterbury School District,2010-11,45,8.9,40,51.1
23,Canton School District,2010-11,123,13,32.5,54.5
241,Capitol Region Education Council,2010-11,255,14.5,34.5,51
24,Chaplin School District,2010-11,20,10,25,65
287,Charter School for Young Children on Asylum Hill,2010-11,45,4.4,11.1,84.4
25,Cheshire School District,2010-11,253,3.2,18.6,78.3
26,Chester School District,2010-11,33,6.1,54.5,39.4
27,Clinton School District,2010-11,161,13.7,43.5,42.9
28,Colchester School District,2010-11,201,19.9,40.3,39.8
29,Colebrook School District,2010-11,14,21.4,57.1,21.4
30,Columbia School District,2010-11,59,25.4,25.4,49.2
243,Cooperative Educational Services,2010-11,34,0,26.5,73.5
31,Cornwall School District,2010-11,10,0,10,90
32,Coventry School District,2010-11,125,12,46.4,41.6
33,Cromwell School District,2010-11,157,1.3,28.7,70.1
34,Danbury School District,2010-11,746,41.7,39.1,19.2
35,Darien School District,2010-11,92,0,13,87
36,Deep River School District,2010-11,48,22.9,70.8,6.3
37,Derby School District,2010-11,128,17.2,47.7,35.2
40,East Granby School District,2010-11,54,9.3,27.8,63
41,East Haddam School District,2010-11,80,7.5,23.8,68.8
42,East Hampton School District,2010-11,136,25.7,51.5,22.8
43,East Hartford School District,2010-11,519,26.6,39.1,34.3
44,East Haven School District,2010-11,115,21.7,35.7,42.6
45,East Lyme School District,2010-11,167,10.8,46.1,43.1
47,East Windsor School District,2010-11,91,16.5,50.5,33
39,Eastford School District,2010-11,23,0,26.1,73.9
46,Easton School District,2010-11,108,10.2,49.1,40.7
48,Ellington School District,2010-11,199,4.5,17.1,78.4
49,Enfield School District,2010-11,433,16.9,49.9,33.3
50,Essex School District,2010-11,55,12.7,67.3,20
51,Fairfield School District,2010-11,762,9.7,45.3,45
52,Farmington School District,2010-11,268,6.3,15.7,78
53,Franklin School District,2010-11,20,10,45,45
54,Glastonbury School District,2010-11,401,10,43.4,46.6
56,Granby School District,2010-11,110,2.7,17.3,80
57,Greenwich School District,2010-11,691,10.3,38.5,51.2
58,Griswold School District,2010-11,122,7.4,29.5,63.1
59,Groton School District,2010-11,434,29,44.7,26.3
60,Guilford School District,2010-11,265,4.9,22.6,72.5
62,Hamden School District,2010-11,414,24.4,31.9,43.7
63,Hampton School District,2010-11,13,15.4,30.8,53.8
65,Hartland School District,2010-11,22,9.1,77.3,13.6
67,Hebron School District,2010-11,110,14.5,36.4,49.1
286,Highville Charter School District,2010-11,33,15.2,39.4,45.5
264,Integrated Day Charter School District,2010-11,34,8.8,32.4,58.8
261,Jumoke Academy District,2010-11,43,18.6,62.8,18.6
68,Kent School District,2010-11,33,6.1,21.2,72.7
69,Killingly School District,2010-11,194,26.8,42.8,30.4
245,Learn,2010-11,240,23.8,26.7,49.6
71,Lebanon School District,2010-11,24,12.5,16.7,70.8
72,Ledyard School District,2010-11,162,12.3,66,21.6
73,Lisbon School District,2010-11,41,14.6,26.8,58.5
74,Litchfield School District,2010-11,76,10.5,71.1,18.4
76,Madison School District,2010-11,135,4.4,37,58.5
77,Manchester School District,2010-11,610,31.5,49.2,19.3
78,Mansfield School District,2010-11,116,10.3,61.2,28.4
79,Marlborough School District,2010-11,83,1.2,27.7,71.1
80,Meriden School District,2010-11,640,27.2,41.1,31.7
83,Middletown School District,2010-11,396,29,45.2,25.8
84,Milford School District,2010-11,441,9.5,29.3,61.2
85,Monroe School District,2010-11,194,7.7,53.1,39.2
86,Montville School District,2010-11,179,8.9,19.6,71.5
88,Naugatuck School District,2010-11,302,20.5,46.7,32.8
280,"New Beginnings Inc., Family Academy District",2010-11,40,20,40,40
89,New Britain School District,2010-11,846,49.1,37.8,13.1
90,New Canaan School District,2010-11,284,9.5,46.1,44.4
91,New Fairfield School District,2010-11,137,10.9,45.3,43.8
92,New Hartford School District,2010-11,73,13.7,43.8,42.5
93,New Haven School District,2010-11,1540,23.8,41.8,34.4
95,New London School District,2010-11,195,18.5,47.7,33.8
96,New Milford School District,2010-11,324,14.5,36.7,48.8
94,Newington School District,2010-11,280,13.9,53.2,32.9
97,Newtown School District,2010-11,312,4.8,24.7,70.5
98,Norfolk School District,2010-11,16,31.3,56.3,12.5
99,North Branford School District,2010-11,137,5.8,37.2,56.9
100,North Canaan School District,2010-11,37,16.2,51.4,32.4
101,North Haven School District,2010-11,218,9.2,43.1,47.7
102,North Stonington School District,2010-11,61,0,9.8,90.2
103,Norwalk School District,2010-11,917,21.2,38.3,40.6
104,Norwich School District,2010-11,351,33.9,47,19.1
106,Old Saybrook School District,2010-11,81,17.3,34.6,48.1
107,Orange School District,2010-11,150,4.7,14.7,80.7
108,Oxford School District,2010-11,155,6.5,7.7,85.8
109,Plainfield School District,2010-11,159,45.3,47.2,7.5
110,Plainville School District,2010-11,152,19.7,50.7,29.6
111,Plymouth School District,2010-11,99,5.1,50.5,44.4
112,Pomfret School District,2010-11,47,8.5,70.2,21.3
113,Portland School District,2010-11,112,18.8,57.1,24.1
114,Preston School District,2010-11,31,6.5,41.9,51.6
116,Putnam School District,2010-11,92,20.7,29.3,50
117,Redding School District,2010-11,97,13.4,48.5,38.1
206,Regional School District 06,2010-11,61,4.9,62.3,32.8
210,Regional School District 10,2010-11,172,10.5,41.3,48.3
212,Regional School District 12,2010-11,45,22.2,35.6,42.2
213,Regional School District 13,2010-11,124,6.5,57.3,36.3
214,Regional School District 14,2010-11,118,30.5,64.4,5.1
215,Regional School District 15,2010-11,259,7.7,42.5,49.8
216,Regional School District 16,2010-11,186,8.6,51.1,40.3
217,Regional School District 17,2010-11,188,10.6,31.4,58
218,Regional School District 18,2010-11,100,8,31,61
118,Ridgefield School District,2010-11,349,3.4,19.8,76.8
119,Rocky Hill School District,2010-11,156,7.7,24.4,67.9
121,Salem School District,2010-11,51,2,23.5,74.5
122,Salisbury School District,2010-11,25,12,16,72
123,Scotland School District,2010-11,20,10,40,50
124,Seymour School District,2010-11,171,17.5,39.8,42.7
