District ID,District Name,School Year,Number of Students Tested,Numeracy Skills (%) Level 1,Numeracy Skills (%) Level 2,Numeracy Skills (%) Level 3
288,Achievement First Hartford Academy Inc.,2009-10,87,6.9,31,62.1
279,Amistad Academy District,2009-10,82,8.5,32.9,58.5
1,Andover School District,2009-10,45,13.3,42.2,44.4
2,Ansonia School District,2009-10,177,27.1,40.7,32.2
244,Area Cooperative Educational Services,2009-10,58,12.1,27.6,60.3
3,Ashford School District,2009-10,31,12.9,41.9,45.2
4,Avon School District,2009-10,204,4.4,48.5,47.1
5,Barkhamsted School District,2009-10,42,7.1,23.8,69
7,Berlin School District,2009-10,181,2.8,33.7,63.5
8,Bethany School District,2009-10,58,17.2,41.4,41.4
9,Bethel School District,2009-10,169,8.3,39.1,52.7
11,Bloomfield School District,2009-10,150,37.3,47.3,15.3
12,Bolton School District,2009-10,53,9.4,41.5,49.1
13,Bozrah School District,2009-10,24,16.7,33.3,50
14,Branford School District,2009-10,204,15.7,42.6,41.7
15,Bridgeport School District,2009-10,1705,27.9,44.9,27.2
17,Bristol School District,2009-10,574,20,49.7,30.3
18,Brookfield School District,2009-10,171,15.2,39.2,45.6
19,Brooklyn School District,2009-10,67,22.4,35.8,41.8
21,Canaan School District,2009-10,14,35.7,21.4,42.9
22,Canterbury School District,2009-10,38,21.1,42.1,36.8
23,Canton School District,2009-10,122,5.7,24.6,69.7
241,Capitol Region Education Council,2009-10,257,13.6,36.2,50.2
24,Chaplin School District,2009-10,18,11.1,55.6,33.3
287,Charter School for Young Children on Asylum Hill,2009-10,46,21.7,37,41.3
25,Cheshire School District,2009-10,313,1,9.9,89.1
26,Chester School District,2009-10,34,8.8,88.2,2.9
27,Clinton School District,2009-10,147,18.4,52.4,29.3
28,Colchester School District,2009-10,237,19.8,46.8,33.3
29,Colebrook School District,2009-10,15,6.7,86.7,6.7
30,Columbia School District,2009-10,42,28.6,33.3,38.1
243,Cooperative Educational Services,2009-10,47,0,38.3,61.7
31,Cornwall School District,2009-10,8,25,12.5,62.5
32,Coventry School District,2009-10,130,6.9,35.4,57.7
33,Cromwell School District,2009-10,145,7.6,37.2,55.2
34,Danbury School District,2009-10,770,45.6,41,13.4
35,Darien School District,2009-10,417,6.5,30.9,62.6
36,Deep River School District,2009-10,56,12.5,67.9,19.6
37,Derby School District,2009-10,133,9.8,48.9,41.4
40,East Granby School District,2009-10,57,3.5,26.3,70.2
41,East Haddam School District,2009-10,85,11.8,49.4,38.8
42,East Hampton School District,2009-10,152,28.9,49.3,21.7
43,East Hartford School District,2009-10,538,32.5,43.1,24.3
44,East Haven School District,2009-10,236,28.4,46.6,25
45,East Lyme School District,2009-10,145,7.6,50.3,42.1
47,East Windsor School District,2009-10,101,28.7,47.5,23.8
39,Eastford School District,2009-10,15,6.7,26.7,66.7
46,Easton School District,2009-10,90,17.8,61.1,21.1
48,Ellington School District,2009-10,206,4.9,17,78.2
49,Enfield School District,2009-10,431,18.1,55.9,26
50,Essex School District,2009-10,83,7.2,47,45.8
51,Fairfield School District,2009-10,719,6.5,44.8,48.7
