District ID,District Name,School Year,Number of Students Tested,Numeracy Skills (%) Level 1,Numeracy Skills (%) Level 2,Numeracy Skills (%) Level 3
288,Achievement First Hartford Academy Inc.,2011-12,89,13.5,59.6,27
001,Andover School District,2011-12,35,14.3,37.1,48.6
002,Ansonia School District,2011-12,172,18.6,40.7,40.7
244,Area Cooperative Educational Services,2011-12,60,10,48.3,41.7
003,Ashford School District,2011-12,56,3.6,30.4,66.1
004,Avon School District,2011-12,165,7.9,33.9,58.2
005,Barkhamsted School District,2011-12,42,4.8,45.2,50
007,Berlin School District,2011-12,153,15,49.7,35.3
008,Bethany School District,2011-12,46,21.7,41.3,37
009,Bethel School District,2011-12,199,8,39.7,52.3
011,Bloomfield School District,2011-12,182,22,47.8,30.2
012,Bolton School District,2011-12,43,11.6,30.2,58.1
013,Bozrah School District,2011-12,20,5,30,65
014,Branford School District,2011-12,208,17.3,46.6,36.1
015,Bridgeport School District,2011-12,1833,23,41.2,35.7
017,Bristol School District,2011-12,562,16.2,38.1,45.7
018,Brookfield School District,2011-12,179,18.4,26.8,54.7
019,Brooklyn School District,2011-12,72,23.6,52.8,23.6
021,Canaan School District,2011-12,6,16.7,16.7,66.7
022,Canterbury School District,2011-12,43,11.6,39.5,48.8
023,Canton School District,2011-12,108,13,32.4,54.6
241,Capitol Region Education Council,2011-12,363,10.2,38,51.8
024,Chaplin School District,2011-12,26,11.5,23.1,65.4
025,Cheshire School District,2011-12,263,3.4,9.9,86.7
026,Chester School District,2011-12,31,16.1,48.4,35.5
027,Clinton School District,2011-12,150,20,32.7,47.3
028,Colchester School District,2011-12,179,11.2,35.8,53.1
029,Colebrook School District,2011-12,8,12.5,62.5,25
030,Columbia School District,2011-12,46,17.4,30.4,52.2
243,Cooperative Educational Services,2011-12,59,10.2,18.6,71.2
031,Cornwall School District,2011-12,7,14.3,14.3,71.4
032,Coventry School District,2011-12,123,9.8,54.5,35.8
033,Cromwell School District,2011-12,140,9.3,33.6,57.1
034,Danbury School District,2011-12,864,36.7,42.8,20.5
035,Darien School District,2011-12,368,6,28.8,65.2
036,Deep River School District,2011-12,55,27.3,72.7,0
037,Derby School District,2011-12,122,23,36.9,40.2
040,East Granby School District,2011-12,34,14.7,23.5,61.8
041,East Haddam School District,2011-12,76,14.5,39.5,46.1
042,East Hampton School District,2011-12,157,23.6,63.1,13.4
043,East Hartford School District,2011-12,545,22.2,47.5,30.3
044,East Haven School District,2011-12,232,22,45.3,32.8
045,East Lyme School District,2011-12,145,21.4,41.4,37.2
047,East Windsor School District,2011-12,101,17.8,44.6,37.6
039,Eastford School District,2011-12,13,23.1,38.5,38.5
046,Easton School District,2011-12,90,21.1,63.3,15.6
048,Ellington School District,2011-12,185,14.1,25.9,60
289,Elm City College Preparatory School,2011-12,62,17.7,61.3,21
049,Enfield School District,2011-12,345,20.9,54.5,24.6
050,Essex School District,2011-12,48,8.3,45.8,45.8
051,Fairfield School District,2011-12,731,7.7,45.6,46.8
052,Farmington School District,2011-12,253,11.1,21.7,67.2
053,Franklin School District,2011-12,15,33.3,20,46.7
054,Glastonbury School District,2011-12,379,13.7,40.6,45.6
056,Granby School District,2011-12,111,2.7,15.3,82
057,Greenwich School District,2011-12,568,4.9,32,63
058,Griswold School District,2011-12,137,10.2,80.3,9.5
059,Groton School District,2011-12,487,25.5,43.1,31.4
060,Guilford School District,2011-12,222,2.7,16.2,81.1
062,Hamden School District,2011-12,435,18.2,39.8,42.1
063,Hampton School District,2011-12,14,0,78.6,21.4
064,Hartford School District,2011-12,1766,33.8,41.3,24.9
065,Hartland School District,2011-12,19,26.3,21.1,52.6
067,Hebron School District,2011-12,119,10.1,34.5,55.5
264,Integrated Day Charter School District,2011-12,33,12.1,33.3,54.5
261,Jumoke Academy District,2011-12,47,31.9,46.8,21.3
068,Kent School District,2011-12,30,16.7,53.3,30
069,Killingly School District,2011-12,185,28.1,48.6,23.2
245,Learn,2011-12,255,16.9,36.5,46.7
071,Lebanon School District,2011-12,70,24.3,71.4,4.3
072,Ledyard School District,2011-12,172,19.8,41.9,38.4
073,Lisbon School District,2011-12,27,3.7,14.8,81.5
074,Litchfield School District,2011-12,74,20.3,66.2,13.5
076,Madison School District,2011-12,142,4.2,37.3,58.5
077,Manchester School District,2011-12,494,34,54.3,11.7
